Keyword,Commenter,Description
ai.explains.ai/video/7155161931798695174,/@tayseer360,You say 4 but only mentioned 3?
ai.explains.ai/video/7155161931798695174,/@quotegoatspodcast,Realizing the guy in this video is also Ai is mind blowing 😳
ai.explains.ai/video/7155161931798695174,/@faisaltougi,those were tree
ai.explains.ai/video/7155161931798695174,/@c4tch23,that was 3 💀
ai.explains.ai/video/7155161931798695174,/@tnfethan,is he real?
ai.explains.ai/video/7155161931798695174,/@user701256794,Am I the only on that can count to four? Cause that was only three
ai.explains.ai/video/7155161931798695174,/@natty12yo,how to use synthesia i have to pay?
ai.explains.ai/video/7155161931798695174,/@plungi_15,wait i think his voice is ai too 💀
ai.explains.ai/video/7155161931798695174,/@goblinoftheyearaward,that was 3
ai.explains.ai/video/7155161931798695174,/@lolla24,So what's the 4th one? What did I miss? 😳
ai.explains.ai/video/7155161931798695174,/@stoneunited,"bro that's 3 not ,4"
ai.explains.ai/video/7155161931798695174,/@khalilslife,Idk if im even real
ai.explains.ai/video/7155161931798695174,/@bodhi_builder,"you're counting three (gpt, dalle, synesthesia), why four?"
ai.explains.ai/video/7155161931798695174,/@fuckingwonker,man can't count
ai.explains.ai/video/7155161931798695174,/@abraham23stoic,that was 3
ai.explains.ai/video/7155161931798695174,/@thepromaxxx,that was 3 anyway
ai.explains.ai/video/7155161931798695174,/@andresbergergarcia,were is Number 4
ai.explains.ai/video/7155161931798695174,/@nikolas_m138,sooo that's 3???
ai.explains.ai/video/7155161931798695174,/@everyoneneedsalittlehelp,AI gives me an uneasy feeling
ai.explains.ai/video/7155161931798695174,/@_.rokos._,that's 3 ai bro
ai.explains.ai/video/7155161931798695174,/@imaketheinternet,“The answer is 4”… shows 3
ai.explains.ai/video/7155161931798695174,/@pedrocooooooo, OPEN AI
ai.explains.ai/video/7155161931798695174,/@aiwisdomclub,😂
ai.explains.ai/video/7155161931798695174,/@olivertreez3,I counted 3
ai.explains.ai/video/7155161931798695174,/@cozmic_is_bck,it's the guy who does anime recaps
ai.explains.ai/video/7155161931798695174,/@ttlynotme,I GUESSED RIGHT OMG
ai.explains.ai/video/7155161931798695174,/@optyp_,so it's three
ai.explains.ai/video/7155161931798695174,/@nico2757,so 3 not 4
ai.explains.ai/video/7155161931798695174,/@freethinkerx,...and the 4th?
ai.explains.ai/video/7155161931798695174,/@tesitok101,4 ai.....shows only 3 ai💀
ai.explains.ai/video/7155161931798695174,/@mtvphil,Bro is AI too
ai.explains.ai/video/7155161931798695174,/@black4ushop,You only named 3 that means ….
ai.explains.ai/video/7155161931798695174,/@its_chris0,The dude is also completely ai btw
ai.explains.ai/video/7155161931798695174,/@diegomairanaflore,am i real?
ai.explains.ai/video/7155161931798695174,/@amzadventure, 😳
ai.explains.ai/video/7155161931798695174,/@omra_kefren,"Gpt3, dall e and synteshya are 3.
Maybe you need 1 more AI to count for you"
ai.explains.ai/video/7155161931798695174,/@mchyden9,The world become scary
ai.explains.ai/video/7155161931798695174,/@_azermit,um.. you said 4 but only listed 3... or am I confused
ai.explains.ai/video/7155161931798695174,/@mustafa909071,6 our 7
ai.explains.ai/video/7155161931798695174,/@rodriuriarte,got it right
ai.explains.ai/video/7155161931798695174,/@khangg_phan,HE IS A AI TOO
ai.explains.ai/video/7155161931798695174,/@pakica_pakica_pakica,broooooo that's wild why is AI so scary
ai.explains.ai/video/7155161931798695174,/@p1peryss,I said 127
ai.explains.ai/video/7155161931798695174,/@definitelynotfaq,Bro is an AI himself 💀💀💀
ai.explains.ai/video/7155161931798695174,/@pindaboy01,you are ai to
ai.explains.ai/video/7155161931798695174,/@strigna,i thought 3
ai.explains.ai/video/7155161931798695174,/@hycko7,why GPT 3 not available in all countries
ai.explains.ai/video/7155161931798695174,/@xk8r,Why does she looks like gustavo
ai.explains.ai/video/7155161931798695174,/@mr.brokkoli,Ingredible how far we’ve advanced😳
ai.explains.ai/video/7155161931798695174,/@kalashnikov.rifle,Wow...Where are we going next?
ai.explains.ai/video/7155161931798695174,/@dezzz21,the Synthesia avatars are actors
ai.explains.ai/video/7155161931798695174,/@zanga17,any AI development for prescription
ai.explains.ai/video/7155161931798695174,/@stroberiespie,"so its like copy and pasted,this look so easy"
ai.explains.ai/video/7155161931798695174,/@santi.rafael,AI is our doom
ai.explains.ai/video/7155161931798695174,/@turbinez_2.0,YOOO I SAID 4 😳
ai.explains.ai/video/7155161931798695174,/@geogomba,I guessed 3
ai.explains.ai/video/7155161931798695174,/@dannyrayjustice,nice
ai.explains.ai/video/7155161931798695174,/@belaozu,This is scary 😟
ai.explains.ai/video/7155161931798695174,/@unknownewword,AI true or fals
ai.explains.ai/video/7155161931798695174,/@socialprojectex,Oh I said 3 😅
ai.explains.ai/video/7155161931798695174,/@jungleboy6969,All free to use?
ai.explains.ai/video/7155161931798695174,/@noclipman_360,Are u sure u want to give me this wepon u dont know what i can do with this
ai.explains.ai/video/7155161931798695174,/@thehospi,hes an ai
ai.explains.ai/video/7155161931798695174,/@bigdaddy_cool4,You have to pay for Synthesia.io tho
